dataset,reducer,n_components,classifier,accuracy_mean,bac_mean,precision_mean,recall_mean,gmean_pdf_mean,accuracy_std,bac_std,precision_std,recall_std,gmean_pdf_std
breast_cancer,ica,9.0,knn,0.920565851247838,0.8974202723300839,0.8963154172222406,0.988236771075262,0.94106955949967,0.01148355239504097,0.01631185171930368,0.017683347294608184,0.011943781177254063,0.0077598065257733105
breast_cancer,ica,9.0,mlp,0.9500926612305411,0.937422943045658,0.9369792813108276,0.9871100370347122,0.9616833700510261,0.012566880331144309,0.015875985028423963,0.015684014402431508,0.00795487804998854,0.009305854966260322
breast_cancer,ica,9.0,svm_rbf,0.951840869780084,0.9434097576458857,0.9485074896881447,0.9764421568012052,0.9623100184888218,0.01209787986794206,0.012456924868298606,0.012331444199951098,0.017731041610891972,0.009765767076778707
breast_cancer,ica,15.0,knn,0.8892834198171485,0.8539080385577899,0.8547669581759907,0.9927217374929385,0.9211073966022525,0.014904026737131718,0.02032035922696377,0.01816179906167956,0.005919843210798705,0.009370324274212064
breast_cancer,ica,15.0,mlp,0.9300716580182853,0.9120782371619116,0.9157291044466614,0.9826470403615593,0.9482322298607061,0.04784239530297896,0.06254720711508019,0.05553030784874672,0.01034580378199094,0.03181018646798461
breast_cancer,ica,15.0,svm_rbf,0.9490363232023722,0.9407809681610436,0.9475495799360065,0.9730713702843513,0.960073786826927,0.01548253265574109,0.015244829919987985,0.016107560434824576,0.026594795105452488,0.012628984357627994
breast_cancer,ica,21.0,knn,0.8365616506053867,0.7820022490859757,0.7957785251412062,0.9960799698700648,0.8902264999659172,0.02245080013213431,0.030203242827982986,0.022907164001537986,0.004611604545612618,0.012766887348408466
breast_cancer,ica,21.0,mlp,0.9275957499382258,0.9141391294770017,0.9217982773534636,0.9669575042370223,0.9440601489381658,0.027735831083748608,0.030918449041301622,0.02528497516852136,0.0218286742842857,0.021470510718677706
breast_cancer,ica,21.0,svm_rbf,0.9391771682727945,0.9323575253185021,0.9449977657869388,0.9590546732785136,0.951902437804414,0.020145061614591352,0.0198082032367427,0.015700427315205226,0.02663572526511511,0.016367265668107846
breast_cancer,none,,knn,0.9623918952310355,0.953740008503653,0.9540622226696792,0.9876686962525895,0.9707025747203712,0.008609440847946915,0.009006270796007007,0.007733817598110363,0.01050619795919436,0.006830326366916708
breast_cancer,none,,mlp,0.9493661971830987,0.9380012329112695,0.9394850088749698,0.9826062394074446,0.9607799880838588,0.018238072871293743,0.018830055237947535,0.01365570817173205,0.01844543084793631,0.01451735211201093
breast_cancer,none,,svm_rbf,0.9708314801087227,0.9671674011627974,0.9723644395413631,0.9815046136463497,0.9768836089405243,0.013157395829393253,0.013295684771456784,0.011074102759601459,0.016547439412169053,0.010598711999482436
digits,ica,19.0,knn,0.9453501911304567,0.9451801194059251,0.9464592090529592,0.9451801194059251,0.9458192328937063,0.01457613144766861,0.01459923401671934,0.013718694571688634,0.01459923401671934,0.0141509468746661
digits,ica,19.0,mlp,0.9288818806345084,0.928707898509429,0.9302547751539423,0.928707898509429,0.929480980882837,0.015109129698924252,0.015003238437466196,0.014799571097796975,0.015003238437466196,0.014899573042513443
digits,ica,19.0,svm_rbf,0.9601534493906867,0.960052070401602,0.960941309081764,0.960052070401602,0.9604965221278141,0.013037731120913262,0.013078031399180977,0.012384649054126617,0.013078031399180977,0.012731070120760852
digits,ica,32.0,knn,0.9382285687388363,0.937908148392158,0.9395827739743435,0.937908148392158,0.9387450025588778,0.016389432290626383,0.016469600803696124,0.01613468191222425,0.016469600803696124,0.01629777707404329
digits,ica,32.0,mlp,0.934552497082876,0.9343837023412475,0.9355317925337967,0.9343837023412475,0.9349574894904723,0.023601356149840394,0.02374582734769071,0.023139029082030024,0.02374582734769071,0.02344132484154541
digits,ica,32.0,svm_rbf,0.9661635918157023,0.9660187938962009,0.9673516658471977,0.9660187938962009,0.9666846912248532,0.011704772966784698,0.011731298029808847,0.010631613941269588,0.011731298029808847,0.011166827515916529
digits,ica,44.0,knn,0.9368938761454821,0.9364814389444966,0.9402451600202564,0.9364814389444966,0.9383611748193378,0.013815695308419914,0.013824795434965894,0.013117824098251076,0.013824795434965894,0.013459216085586067
digits,ica,44.0,mlp,0.9271020014814777,0.9268854331762458,0.9290300275518424,0.9268854331762458,0.9279566822445245,0.014484533524328833,0.014547805944314094,0.013142377850736759,0.014547805944314094,0.013833490846533009
digits,ica,44.0,svm_rbf,0.9661654498564355,0.9660672302595723,0.9678907359372182,0.9660672302595723,0.9669776342886893,0.010214602585467058,0.010238796854891692,0.007971494540787848,0.010238796854891692,0.009072614129997573
digits,none,,knn,0.964719398688471,0.9645900368281103,0.9655262795704767,0.9645900368281103,0.9650580127670276,0.0047477428557647,0.004782147601563114,0.004532753546395723,0.004782147601563114,0.004651920427471743
digits,none,,mlp,0.9406814302454348,0.9404095779582363,0.9412997934321956,0.9404095779582363,0.9408544275159818,0.013817972034685235,0.01387777286549244,0.013780134655219912,0.01387777286549244,0.01381765668685572
digits,none,,svm_rbf,0.9755144914790252,0.975457658610502,0.9762272993548982,0.975457658610502,0.9758423524076552,0.004294566181464097,0.004306293744978562,0.003774356174778025,0.004306293744978562,0.0040358303694161
syn_E2_imb50_50,ica,30.0,knn,0.9394666666666666,0.9394995519028486,0.9465197168746821,0.9323144204790035,0.9393585287437013,0.006855114338404037,0.006861803306898739,0.01122556972249618,0.010079369723473008,0.006861314478150345
syn_E2_imb50_50,ica,30.0,mlp,0.9285333333333334,0.9285383263842141,0.9302712853769813,0.9274047928533434,0.9288042024704586,0.007074907843050268,0.007087237354727115,0.01159450755388804,0.009800530052362718,0.006903758601106417
syn_E2_imb50_50,ica,30.0,svm_rbf,0.9497333333333333,0.949733205594207,0.9507325244773209,0.9492998826973273,0.9499765357574812,0.005156321782141579,0.005165382249622133,0.01092688124194254,0.009964319819482757,0.005097224405648441
syn_E2_imb50_50,ica,50.0,knn,0.9010666666666667,0.9010842800659983,0.9047540224329073,0.8976803660688809,0.9011633057547643,0.011332026068396376,0.011322492988799228,0.01247956112460549,0.017318286819969907,0.011618529812987692
syn_E2_imb50_50,ica,50.0,mlp,0.8993333333333334,0.8993203601305669,0.899062513904776,0.9009880900799982,0.899957630563758,0.008525922708111493,0.008521828802040766,0.012338710305089482,0.016354355147910806,0.008755810975017172
syn_E2_imb50_50,ica,50.0,svm_rbf,0.9280666666666667,0.928051470557125,0.9266704408515875,0.9305869360753272,0.9285938610434142,0.006162010253997512,0.006170059617584228,0.010357156138438035,0.010059050096303155,0.006070900951757048
syn_E2_imb50_50,ica,70.0,knn,0.8964666666666666,0.8964837520749667,0.9000172520970061,0.8932993049904713,0.8966066107115885,0.01112909655468298,0.011124550337437426,0.013815541224657871,0.015580520442353123,0.011250741899959754
syn_E2_imb50_50,ica,70.0,mlp,0.8759333333333335,0.8758976277739814,0.8726600024303981,0.8825402193172491,0.8774046880751403,0.011540374643553836,0.0115411039967576,0.02015417676523652,0.0241452147573339,0.011718043191378634
syn_E2_imb50_50,ica,70.0,svm_rbf,0.9174,0.9173746094027624,0.9146116571513476,0.9220934123805395,0.9182644959453625,0.007466468251331951,0.0075002371105873196,0.017182146417357134,0.011357233629216121,0.0068648878065065665
syn_E2_imb50_50,none,,knn,0.9460666666666666,0.9460827124470768,0.9501411191433199,0.9421343802508796,0.9461122744877517,0.0053559704772418795,0.005353262563959173,0.007466822994354545,0.008623595872364448,0.005406890727472955
syn_E2_imb50_50,none,,mlp,0.9345333333333332,0.9345256468054487,0.9347488402148801,0.9352321923622926,0.9349335714873659,0.008236024451483373,0.008251702597197434,0.014335831775163222,0.012574139963523594,0.00798371932133255
syn_E2_imb50_50,none,,svm_rbf,0.9558,0.9557890672419538,0.954727854817382,0.9575281544027252,0.9561027669232948,0.0036521598547898065,0.0036647827182867353,0.008725034465280354,0.007183208765335138,0.0035326282785739485
syn_E2_imb70_30,ica,30.0,knn,0.9183333333333333,0.8793869849735584,0.9469247562250537,0.7781291376736061,0.8582854779595708,0.009439868172337544,0.014501518658189784,0.008088648330171706,0.02801477188744639,0.017623599283915017
syn_E2_imb70_30,ica,30.0,mlp,0.9199999999999999,0.898520336214815,0.8915219072362921,0.8426848278258257,0.8667068056198761,0.006440611887195319,0.00854960355069496,0.013200243957313496,0.01629465963408025,0.010961208554503356
syn_E2_imb70_30,ica,30.0,svm_rbf,0.9342666666666666,0.9064833347928607,0.9456990646434402,0.8342484341399743,0.8881900496652533,0.007686447910542396,0.01077249040551623,0.010112376607904712,0.01938387375561302,0.013538023208455272
syn_E2_imb70_30,ica,50.0,knn,0.8832666666666666,0.8301717172452401,0.9071664124689558,0.6921167046980494,0.792000210298697,0.009282666709225762,0.016133003959366336,0.020722080104684692,0.03629576488976729,0.019054752942382583
syn_E2_imb70_30,ica,50.0,mlp,0.8924,0.8642652114332343,0.8491111757950651,0.7911175592303575,0.8195039360913194,0.010551227182737013,0.013697241176875399,0.02030365716795236,0.02446848427882563,0.018281598054376694
