dataset,reducer,n_components,classifier,accuracy_mean,bac_mean,precision_mean,recall_mean,gmean_pdf_mean,accuracy_std,bac_std,precision_std,recall_std,gmean_pdf_std
breast_cancer,none,,mlp,0.9490052201319807,0.9393137705226957,0.9457120648946864,0.9776841448189761,0.9611018121169742,0.02843427324209019,0.040804674223324025,0.050882922539797815,0.023983769604791677,0.02069174948960691
breast_cancer,none,,svm_rbf,0.9789224859647395,0.9784385084681884,0.9861402642301518,0.9804619225967539,0.9832228624538,0.008075229387479432,0.008905325573887377,0.013795525026355355,0.016604244694132297,0.006399681581900119
digits,pca,19.0,knn,0.9721739668398911,0.9721874840416296,0.9730539091784693,0.9721874840416296,0.9726205917508768,0.005313221129164711,0.005400067769030996,0.005420868765259147,0.005400067769030996,0.005408443844348648
digits,pca,19.0,mlp,0.9632689928235585,0.963139088049351,0.9642274995709632,0.963139088049351,0.9636831278112007,0.005914427328873121,0.005883408867505091,0.0060007353705709195,0.005883408867505091,0.005939613722682021
digits,pca,19.0,svm_rbf,0.9755134867607027,0.9755225408789616,0.9761110938056685,0.9755225408789616,0.975816765643831,0.009453008494883631,0.009487562109316706,0.009308466988388601,0.009487562109316706,0.009397486213549204
digits,pca,32.0,knn,0.9716196486018313,0.971556681578168,0.9724175403380372,0.971556681578168,0.97198701481088,0.0021269901625273675,0.0021865192723749395,0.0021656314670002695,0.0021865192723749395,0.002175607796624453
digits,pca,32.0,mlp,0.9593677307597129,0.9593002318432046,0.9610626531496339,0.9593002318432046,0.9601808456895935,0.014033236117693186,0.014163593911821431,0.013035181737097164,0.014163593911821431,0.013594089187099584
digits,pca,32.0,svm_rbf,0.9816344964117794,0.9816117315725507,0.9821311827901625,0.9816117315725507,0.9818714109224264,0.009342541563847893,0.009430834783778399,0.009130688491848317,0.009430834783778399,0.00928038883688078
digits,pca,44.0,knn,0.9721739668398911,0.9720743200457559,0.9728521747101802,0.9720743200457559,0.9724631567788953,0.0028964024831921917,0.002934426751815461,0.0026832923735160153,0.002934426751815461,0.0028058351386272677
digits,pca,44.0,mlp,0.9627121999505073,0.9626743420044734,0.9634055965844912,0.9626743420044734,0.9630398928678426,0.005881565516729099,0.0058907079790927,0.005651428167084327,0.0058907079790927,0.005770838220558633
