repeat,fold,accuracy,bac,precision,recall,gmean_pdf,dataset,classifier,reducer,n_components
3,0,0.9508771929824561,0.9358859491936333,0.9319371727748691,0.994413407821229,0.962668592951042,breast_cancer,mlp,none,
3,1,0.9471830985915493,0.9349692601229596,0.9358288770053476,0.9831460674157303,0.9591957465511858,breast_cancer,mlp,none,
4,0,0.9614035087719298,0.9519605776325498,0.9516129032258065,0.9888268156424581,0.9700414201574327,breast_cancer,mlp,none,
4,1,0.9436619718309859,0.9283442866228535,0.9263157894736842,0.9887640449438202,0.9570306927655603,breast_cancer,mlp,none,
0,0,0.9578947368421052,0.9472435965004744,0.946524064171123,0.9888268156424581,0.9674442497132789,breast_cancer,mlp,pca,9.0
0,1,0.9436619718309859,0.930252278990884,0.9308510638297872,0.9831460674157303,0.9566412926243588,breast_cancer,mlp,pca,9.0
1,0,0.9263157894736842,0.9028670812691051,0.898989898989899,0.994413407821229,0.9454986034106068,breast_cancer,mlp,pca,9.0
1,1,0.9788732394366197,0.9736061055755777,0.9725274725274725,0.9943820224719101,0.9833940385427212,breast_cancer,mlp,pca,9.0
2,0,0.9473684210526315,0.9311689680615579,0.9270833333333334,0.994413407821229,0.9601583707046794,breast_cancer,mlp,pca,9.0
2,1,0.9507042253521126,0.9415942336230655,0.9456521739130435,0.9775280898876404,0.9614580403030141,breast_cancer,mlp,pca,9.0
3,0,0.9508771929824561,0.9435806893643934,0.9508196721311475,0.9720670391061452,0.961384659443035,breast_cancer,mlp,pca,9.0
3,1,0.9647887323943662,0.9528301886792453,0.9468085106382979,1.0,0.9730408576407765,breast_cancer,mlp,pca,9.0
4,0,0.9122807017543859,0.8878465268261833,0.8888888888888888,0.9832402234636871,0.9348750235970045,breast_cancer,mlp,pca,9.0
4,1,0.9330985915492958,0.9161013355946577,0.9162303664921466,0.9831460674157303,0.9490986680338495,breast_cancer,mlp,pca,9.0
0,0,0.8,0.811926847264678,0.9013157894736842,0.7653631284916201,0.8305623832021731,breast_cancer,mlp,pca,15.0
