repeat,fold,accuracy,bac,precision,recall,gmean_pdf,dataset,classifier,reducer,n_components
2,0,0.9719298245614035,0.9641878359860863,0.9621621621621622,0.994413407821229,0.9781548724779311,breast_cancer,mlp,none,
2,1,0.9049295774647887,0.8955374178503286,0.9171270718232044,0.9325842696629213,0.9248233779832432,breast_cancer,mlp,none,
3,0,0.9508771929824561,0.9358859491936333,0.9319371727748691,0.994413407821229,0.962668592951042,breast_cancer,mlp,none,
3,1,0.9471830985915493,0.9349692601229596,0.9358288770053476,0.9831460674157303,0.9591957465511858,breast_cancer,mlp,none,
4,0,0.9614035087719298,0.9519605776325498,0.9516129032258065,0.9888268156424581,0.9700414201574327,breast_cancer,mlp,none,
4,1,0.9436619718309859,0.9283442866228535,0.9263157894736842,0.9887640449438202,0.9570306927655603,breast_cancer,mlp,none,
0,0,0.9614035087719298,0.9596553178033098,0.9719101123595506,0.9664804469273743,0.9691914773492868,breast_cancer,svm_rbf,kpca,9.0
0,1,0.9507042253521126,0.9511341954632182,0.9712643678160919,0.949438202247191,0.9602892768775796,breast_cancer,svm_rbf,kpca,9.0
1,0,0.9578947368421052,0.9472435965004744,0.946524064171123,0.9888268156424581,0.9674442497132789,breast_cancer,svm_rbf,kpca,9.0
1,1,0.9436619718309859,0.9417002331990671,0.9602272727272727,0.949438202247191,0.9548174985655138,breast_cancer,svm_rbf,kpca,9.0
2,0,0.968421052631579,0.9613945398967008,0.9619565217391305,0.9888268156424581,0.9752991357413373,breast_cancer,svm_rbf,kpca,9.0
2,1,0.9436619718309859,0.9493322026711893,0.9821428571428571,0.9269662921348315,0.9541558167471516,breast_cancer,svm_rbf,kpca,9.0
3,0,0.9543859649122807,0.9521450405818488,0.9662921348314607,0.9608938547486033,0.9635892144744355,breast_cancer,svm_rbf,kpca,9.0
3,1,0.9612676056338029,0.9576531693873225,0.9664804469273743,0.9719101123595506,0.9691914773492868,breast_cancer,svm_rbf,kpca,9.0
4,0,0.9473684210526315,0.9465584484030779,0.9659090909090909,0.9497206703910615,0.957780679151027,breast_cancer,svm_rbf,kpca,9.0
4,1,0.9647887323943662,0.9604621581513674,0.9666666666666667,0.9775280898876404,0.9720822085732868,breast_cancer,svm_rbf,kpca,9.0
0,0,0.9614035087719298,0.9577316327606198,0.9666666666666667,0.9720670391061452,0.9693630921740696,breast_cancer,svm_rbf,kpca,15.0
0,1,0.9647887323943662,0.9642781428874285,0.9772727272727273,0.9662921348314607,0.9717669216169726,breast_cancer,svm_rbf,kpca,15.0
1,0,0.9578947368421052,0.9510909665858543,0.9562841530054644,0.9776536312849162,0.9669098586352364,breast_cancer,svm_rbf,kpca,15.0
1,1,0.9471830985915493,0.9445092219631122,0.96045197740113,0.9550561797752809,0.9577502787231845,breast_cancer,svm_rbf,kpca,15.0
2,0,0.9754385964912281,0.9689048171181617,0.967391304347826,0.994413407821229,0.9808093003500453,breast_cancer,svm_rbf,kpca,15.0
2,1,0.9471830985915493,0.9502331990672037,0.9766081871345029,0.9382022471910112,0.9572126178622649,breast_cancer,svm_rbf,kpca,15.0
3,0,0.9543859649122807,0.9502213555391589,0.9611111111111111,0.9664804469273743,0.9637920399201957,breast_cancer,svm_rbf,kpca,15.0
3,1,0.9683098591549296,0.9689951240195039,0.9828571428571429,0.9662921348314607,0.9745394434325265,breast_cancer,svm_rbf,kpca,15.0
4,0,0.9543859649122807,0.9521450405818488,0.9662921348314607,0.9608938547486033,0.9635892144744355,breast_cancer,svm_rbf,kpca,15.0
4,1,0.9683098591549296,0.9651791392834428,0.9720670391061452,0.9775280898876404,0.974793740224138,breast_cancer,svm_rbf,kpca,15.0
0,0,0.9614035087719298,0.9577316327606198,0.9666666666666667,0.9720670391061452,0.9693630921740696,breast_cancer,svm_rbf,kpca,21.0
0,1,0.9683098591549296,0.9651791392834428,0.9720670391061452,0.9775280898876404,0.974793740224138,breast_cancer,svm_rbf,kpca,21.0
1,0,0.9578947368421052,0.9510909665858543,0.9562841530054644,0.9776536312849162,0.9669098586352364,breast_cancer,svm_rbf,kpca,21.0
1,1,0.9507042253521126,0.9492262030951877,0.9659090909090909,0.9550561797752809,0.9604673062493334,breast_cancer,svm_rbf,kpca,21.0
2,0,0.9719298245614035,0.9661115210287763,0.9672131147540983,0.9888268156424581,0.9779602570196391,breast_cancer,svm_rbf,kpca,21.0
2,1,0.9401408450704225,0.9446152215391139,0.9763313609467456,0.9269662921348315,0.9513286821870549,breast_cancer,svm_rbf,kpca,21.0
3,0,0.9473684210526315,0.944634763360388,0.9606741573033708,0.9553072625698324,0.957986951599584,breast_cancer,svm_rbf,kpca,21.0
3,1,0.9753521126760564,0.9765210939156244,0.9885714285714285,0.9719101123595506,0.9802053704292272,breast_cancer,svm_rbf,kpca,21.0
4,0,0.9473684210526315,0.944634763360388,0.9606741573033708,0.9553072625698324,0.957986951599584,breast_cancer,svm_rbf,kpca,21.0
4,1,0.9753521126760564,0.9746131015475938,0.9830508474576272,0.9775280898876404,0.9802855793990242,breast_cancer,svm_rbf,kpca,21.0
