dataset,reducer,n_components,classifier,accuracy_mean,bac_mean,precision_mean,recall_mean,gmean_pdf_mean,accuracy_std,bac_std,precision_std,recall_std,gmean_pdf_std,n_samples,n_features,n_classes,name
breast_cancer,pca,5,rf,0.9490762303990063,0.9441781178024218,0.9575532106782108,0.9637715179968701,0.9600673538695894,0.03242408661946157,0.035073567542886985,0.03982276039603956,0.049624859468773916,0.025903888051418286,569,30,2,
breast_cancer,pca,5,svm_rbf,0.9648812296227295,0.9587176157721524,0.9625709556546198,0.9832159624413146,0.9726486213353865,0.016369378924724853,0.022590637092382546,0.029758219474093565,0.01816217374359919,0.01238260546611016,569,30,2,
breast_cancer,ccpca,10,knn,0.7873466852973141,0.7310430411928939,0.7681185270849175,0.9522300469483568,0.8547257970613851,0.04402406281199237,0.05775021267504753,0.044540530121220376,0.03537617876641542,0.025875789611490674,569,30,2,
breast_cancer,ccpca,10,logreg,0.6274181027790716,0.5,0.6274181027790716,1.0,0.7920933572834363,0.004414757525701765,0.0,0.004414757525701765,0.0,0.0027875003421834756,569,30,2,
breast_cancer,ccpca,10,mlp,0.8576618537494177,0.8433518423200702,0.8785884950864105,0.8992175273865414,0.8885307475273742,0.025760035326146475,0.03450626377439482,0.03684844097043076,0.026778403300416205,0.018481144165673813,569,30,2,
breast_cancer,ccpca,10,rf,0.8313150131967086,0.7976565465142273,0.8244935380620225,0.9300860719874804,0.8755426949586937,0.019691057738487075,0.025870766500547565,0.02344956271561136,0.021653436325080225,0.013134594274197822,569,30,2,
breast_cancer,ccpca,10,svm_rbf,0.8260518553019718,0.7802133862607168,0.8028629379770316,0.9607589984350546,0.8780110495077157,0.06013342295584742,0.0695666574600132,0.052105627529959696,0.04254494715852019,0.04238915538411316,569,30,2,
breast_cancer,ica,10,knn,0.920912901723335,0.901474349975824,0.9041554936291778,0.977699530516432,0.940188937400418,0.019617119727368137,0.02034121623716827,0.011451950814279284,0.021025084260632883,0.01517284827209149,569,30,2,
breast_cancer,ica,10,logreg,0.9754075454122031,0.9689830195644149,0.9678481134342706,0.9944444444444445,0.9809444527441784,0.009581031702880962,0.015176193455856234,0.022062571469003027,0.012422599874998837,0.0071185066147432296,569,30,2,
breast_cancer,ica,10,mlp,0.9666200900481291,0.9610627589828376,0.9650643274853801,0.9832550860719875,0.9739536268241811,0.009567121649945482,0.016436767682921634,0.025560727192263363,0.015197025289862246,0.006927213024662145,569,30,2,
breast_cancer,ica,10,rf,0.9314857941313461,0.9225513286436968,0.9358026287438053,0.9580594679186228,0.9465325086972276,0.016765120688453507,0.02339828928600277,0.03277869953303414,0.02777970634051049,0.012227943064924992,569,30,2,
breast_cancer,ica,10,svm_rbf,0.9578326346840553,0.9540400672770473,0.9641171993911719,0.9692097026604071,0.9665863978154213,0.012969681110532405,0.0168366135402935,0.020990464405725297,0.011669733703109829,0.01036439432401658,569,30,2,
breast_cancer,kpca,10,knn,0.9525694767893184,0.9498180296247771,0.9642642208096579,0.9608763693270734,0.9623477101301962,0.0228331022322129,0.02526879882524764,0.028488539798770373,0.0301391651044679,0.018223803011543697,569,30,2,
breast_cancer,kpca,10,logreg,0.9525850023288308,0.9451574433682197,0.9524753243210344,0.9749217527386541,0.9632326109238079,0.027416010355852415,0.033181417080692964,0.03944561622766266,0.0345913522610764,0.02085944071037095,569,30,2,
breast_cancer,kpca,10,mlp,0.968390001552554,0.9690963611124109,0.9832529423114027,0.9664319248826292,0.9746927132224588,0.01590093059220136,0.016361552235816635,0.01824844891098045,0.02323026314995273,0.01283706367714508,569,30,2,
breast_cancer,kpca,10,rf,0.9455519329296693,0.9365507645355337,0.9438899566206068,0.9721048513302033,0.9576262613601585,0.022639928681805657,0.02550677948499338,0.028699504241026144,0.03255194224458248,0.01769703193453894,569,30,2,
breast_cancer,kpca,10,svm_rbf,0.9631423691973297,0.9611275534343008,0.9725169332524903,0.9692097026604068,0.9707227719716478,0.02181700165739403,0.025168302895664213,0.027208424572997058,0.02296643764045022,0.01724231108970363,569,30,2,
breast_cancer,none,10,knn,0.9630957925787922,0.9553283525442058,0.9571872146118722,0.9860719874804381,0.9714062078423131,0.01999675024369066,0.025795431810529058,0.028806554117091394,0.013889164404682039,0.015302992163610479,569,30,2,
breast_cancer,none,10,logreg,0.9736686849868033,0.9676103780304566,0.9682543479911901,0.9915884194053209,0.9796775959930779,0.018589799576866343,0.026175888153911208,0.03240364211815605,0.012575980563728799,0.013922024058981797,569,30,2,
breast_cancer,none,10,mlp,0.9718987734823784,0.9680557505238147,0.9728989263235839,0.9831768388106417,0.9779348608098056,0.02092329272406854,0.026207805083591017,0.028666969288556367,0.01180778785491216,0.016296016086664793,569,30,2,
breast_cancer,none,10,rf,0.9525694767893185,0.9479642064271936,0.9600337863446857,0.9664710485133021,0.9628365402018932,0.014613813539202093,0.021776513250862224,0.03543066539349293,0.03040764486474497,0.010787657893829622,569,30,2,
breast_cancer,none,10,svm_rbf,0.9771619313771154,0.9731786715122779,0.9755616438356164,0.9887715179968701,0.9820783918361992,0.018178759343269152,0.022445464647504795,0.024325311367548143,0.011772572862497874,0.014313265050519662,569,30,2,
breast_cancer,pca,10,knn,0.9631113181183046,0.9563204160362695,0.959845108266161,0.9832942097026605,0.9713269909185651,0.01565294718350632,0.021550002337946246,0.02795426178107279,0.01810160380126976,0.011822241413063064,569,30,2,
breast_cancer,pca,10,logreg,0.9771774569166279,0.9741902968196777,0.9782569712569714,0.9860328638497652,0.9820080432058651,0.007811136390893517,0.009981979603384011,0.01786562201505525,0.01971167169729836,0.006176678224252282,569,30,2,
breast_cancer,pca,10,mlp,0.971914299021891,0.968976195675344,0.9757277325734428,0.9804773082942096,0.9779241840880356,0.016850968861133474,0.020742082967483606,0.025150212500367797,0.023276258746579164,0.012872571557309373,569,30,2,
breast_cancer,pca,10,rf,0.9490451793199813,0.9441585559870852,0.9564999620262779,0.9637323943661972,0.9597502255253936,0.028670516150384236,0.028194491658351802,0.02750989240439251,0.044569096751844915,0.023233753821088443,569,30,2,
breast_cancer,pca,10,svm_rbf,0.9736531594472908,0.9694446394127036,0.9727045009784735,0.9859546165884193,0.9792414410543859,0.016390165072283056,0.019719903898923048,0.021400406836560967,0.014084778731512742,0.012966404196065045,569,30,2,
synthetic,ccpca,2,knn,0.545,0.5449557113927848,0.5446284043823969,0.5375979899497487,0.5410324563410868,0.01723006094011277,0.017217638883513103,0.018271543108271532,0.009806217541805313,0.011019326749866191,2000,20,2,syn_E1_f20_inf40
synthetic,ccpca,2,logreg,0.5015,0.5,0.0,0.0,0.0,0.001369306393762886,0.0,0.0,0.0,0.0,2000,20,2,syn_E1_f20_inf40
synthetic,ccpca,2,mlp,0.5655,0.5656108402710068,0.5577561967942815,0.6227788944723618,0.5886974505716782,0.026244046944021396,0.02608460167123436,0.023706347872290253,0.06829679003439176,0.036937120387906516,2000,20,2,syn_E1_f20_inf40
synthetic,ccpca,2,rf,0.5425000000000001,0.5424980749518739,0.5404250984001514,0.5456130653266332,0.5429728418547154,0.017139136501002617,0.017197239606860995,0.016891823692081392,0.030478430883536262,0.023491657820743743,2000,20,2,syn_E1_f20_inf40
synthetic,ccpca,2,svm_rbf,0.5695,0.5698483837095928,0.5540364313923913,0.7020251256281407,0.6234203165425269,0.02965425770441744,0.029403813708880906,0.023795655915331452,0.04793500893595262,0.029548176810170877,2000,20,2,syn_E1_f20_inf40
