repeat,fold,accuracy,bac,precision,recall,gmean_pdf,dataset,classifier,reducer,n_components
0,1,0.9154929577464789,0.8906084375662497,0.8888888888888888,0.9887640449438202,0.9374973990808698,breast_cancer,mlp,ica,15.0
1,0,0.9614035087719298,0.9538842626752397,0.9565217391304348,0.9832402234636871,0.9697889711326291,breast_cancer,mlp,ica,15.0
1,1,0.9507042253521126,0.9415942336230655,0.9456521739130435,0.9775280898876404,0.9614580403030141,breast_cancer,mlp,ica,15.0
2,0,0.9543859649122807,0.9425266153683989,0.9414893617021277,0.9888268156424581,0.9648678290279791,breast_cancer,mlp,ica,15.0
2,1,0.9014084507042254,0.8736485054059784,0.875,0.9831460674157303,0.9274981450055649,breast_cancer,mlp,ica,15.0
3,0,0.9228070175438596,0.9096922103931696,0.9197860962566845,0.9608938547486033,0.9401153161055592,breast_cancer,mlp,ica,15.0
3,1,0.9683098591549296,0.9594551621793512,0.9567567567567568,0.9943820224719101,0.9753879837261935,breast_cancer,mlp,ica,15.0
4,0,0.9473684210526315,0.9350163381469379,0.9361702127659575,0.9832402234636871,0.9594165983555045,breast_cancer,mlp,ica,15.0
4,1,0.9683098591549296,0.9594551621793512,0.9567567567567568,0.9943820224719101,0.9753879837261935,breast_cancer,mlp,ica,15.0
0,0,0.9192982456140351,0.9068989143037842,0.9193548387096774,0.9553072625698324,0.937158660152096,breast_cancer,mlp,ica,21.0
0,1,0.926056338028169,0.9066673733305066,0.9067357512953368,0.9831460674157303,0.9441682519928628,breast_cancer,mlp,ica,21.0
1,0,0.9298245614035088,0.9152788025719405,0.9206349206349206,0.9720670391061452,0.9460015123662902,breast_cancer,mlp,ica,21.0
1,1,0.9683098591549296,0.9613631545473817,0.9617486338797814,0.9887640449438202,0.975162791258037,breast_cancer,mlp,ica,21.0
2,0,0.9473684210526315,0.9388637082323179,0.9456521739130435,0.9720670391061452,0.9587686419152128,breast_cancer,mlp,ica,21.0
2,1,0.9507042253521126,0.9435022259910961,0.9505494505494505,0.9719101123595506,0.9611704444513604,breast_cancer,mlp,ica,21.0
3,0,0.8842105263157894,0.8693475281964794,0.8924731182795699,0.9273743016759777,0.9097563601476487,breast_cancer,mlp,ica,21.0
3,1,0.9190140845070423,0.8991414034343863,0.9015544041450777,0.9775280898876404,0.9387730048386178,breast_cancer,mlp,ica,21.0
4,0,0.9473684210526315,0.9330926531042479,0.9315789473684211,0.9888268156424581,0.9597761426738367,breast_cancer,mlp,ica,21.0
4,1,0.8838028169014085,0.8672355310578758,0.8877005347593583,0.9325842696629213,0.9098656795856962,breast_cancer,mlp,ica,21.0
0,0,0.9614035087719298,0.9500368925898598,0.9468085106382979,0.994413407821229,0.9703190597004534,breast_cancer,mlp,none,
0,1,0.9401408450704225,0.927443290226839,0.93048128342246,0.9775280898876404,0.9537146279994647,breast_cancer,mlp,none,
1,0,0.9543859649122807,0.9425266153683989,0.9414893617021277,0.9888268156424581,0.9648678290279791,breast_cancer,mlp,none,
1,1,0.9577464788732394,0.9491202035191859,0.9510869565217391,0.9831460674157303,0.9669836612242957,breast_cancer,mlp,none,
2,0,0.9719298245614035,0.9641878359860863,0.9621621621621622,0.994413407821229,0.9781548724779311,breast_cancer,mlp,none,
2,1,0.9049295774647887,0.8955374178503286,0.9171270718232044,0.9325842696629213,0.9248233779832432,breast_cancer,mlp,none,
3,0,0.9508771929824561,0.9358859491936333,0.9319371727748691,0.994413407821229,0.962668592951042,breast_cancer,mlp,none,
3,1,0.9471830985915493,0.9349692601229596,0.9358288770053476,0.9831460674157303,0.9591957465511858,breast_cancer,mlp,none,
